ds,y
2000-01-01,835.0
2000-02-01,890.0
2000-03-01,974.0
2000-04-01,834.0
2000-05-01,1086.0
2000-06-01,842.0
2000-07-01,1102.0
2000-08-01,881.0
2000-09-01,978.0
2000-10-01,1078.0
2000-11-01,1017.0
2000-12-01,950.0
2001-01-01,871.0
2001-02-01,820.0
2001-03-01,962.0
2001-04-01,897.0
2001-05-01,1081.0
2001-06-01,905.0
2001-07-01,1047.0
2001-08-01,814.0
2001-09-01,953.0
2001-10-01,1104.0
2001-11-01,1001.0
2001-12-01,941.0
2002-01-01,852.0
2002-02-01,817.0
2002-03-01,897.0
2002-04-01,784.0
2002-05-01,857.0
2002-06-01,987.0
2002-07-01,1026.0
2002-08-01,785.0
2002-09-01,1039.0
2002-10-01,1019.0
2002-11-01,882.0
2002-12-01,706.0
2003-01-01,747.0
2003-02-01,572.0
2003-03-01,854.0
2003-04-01,844.0
2003-05-01,763.0
2003-06-01,855.0
2003-07-01,562.0
2003-08-01,698.0
2003-09-01,945.0
2003-10-01,960.0
2003-11-01,953.0
2003-12-01,858.0
2004-01-01,828.0
2004-02-01,723.0
2004-03-01,817.0
2004-04-01,875.0
2004-05-01,867.0
2004-06-01,859.0
2004-07-01,970.0
2004-08-01,784.0
2004-09-01,957.0
2004-10-01,1022.0
2004-11-01,903.0
2004-12-01,942.0
2005-01-01,749.0
2005-02-01,961.0
2005-03-01,1115.0
2005-04-01,937.0
2005-05-01,902.0
2005-06-01,901.0
2005-07-01,951.0
2005-08-01,811.0
2005-09-01,1086.0
2005-10-01,962.0
2005-11-01,845.0
2005-12-01,817.0
2006-01-01,708.0
2006-02-01,698.0
2006-03-01,1138.0
2006-04-01,750.0
2006-05-01,476.0
2006-06-01,565.0
2006-07-01,845.0
2006-08-01,774.0
2006-09-01,718.0
2006-10-01,599.0
2006-11-01,494.0
2006-12-01,864.0
2007-01-01,699.0
2007-02-01,612.0
2007-03-01,411.0
2007-04-01,821.0
2007-05-01,858.0
2007-06-01,804.0
2007-07-01,935.0
2007-08-01,759.0
2007-09-01,797.0
2007-10-01,873.0
2007-11-01,868.0
2007-12-01,690.0
2008-01-01,727.0
2008-02-01,793.0
2008-03-01,763.0
2008-04-01,837.0
2008-05-01,871.0
2008-06-01,859.0
2008-07-01,832.0
2008-08-01,760.0
2008-09-01,747.0
2008-10-01,874.0
2008-11-01,625.0
2008-12-01,657.0
2009-01-01,512.0
2009-02-01,802.0
2009-03-01,607.0
2009-04-01,776.0
2009-05-01,768.0
2009-06-01,678.0
2009-07-01,991.0
2009-08-01,752.0
2009-09-01,846.0
2009-10-01,953.0
2009-11-01,835.0
2009-12-01,747.0
2010-01-01,613.0
2010-02-01,683.0
2010-03-01,829.0
2010-04-01,938.0
2010-05-01,743.0
2010-06-01,814.0
2010-07-01,932.0
2010-08-01,794.0
2010-09-01,955.0
2010-10-01,910.0
2010-11-01,827.0
2010-12-01,861.0
2011-01-01,726.0
2011-02-01,760.0
2011-03-01,883.0
2011-04-01,835.0
2011-05-01,1034.0
2011-06-01,783.0
2011-07-01,951.0
2011-08-01,790.0
2011-09-01,906.0
2011-10-01,916.0
2011-11-01,842.0
2011-12-01,832.0
2012-01-01,713.0
2012-02-01,714.0
2012-03-01,946.0
2012-04-01,919.0
2012-05-01,1035.0
2012-06-01,1041.0
2012-07-01,1045.0
2012-08-01,887.0
2012-09-01,921.0
2012-10-01,1090.0
2012-11-01,984.0
2012-12-01,810.0
2013-01-01,796.0
2013-02-01,773.0
2013-03-01,906.0
2013-04-01,1038.0
2013-05-01,848.0
2013-06-01,1055.0
2013-07-01,1138.0
2013-08-01,791.0
2013-09-01,1000.0
2013-10-01,1074.0
2013-11-01,939.0
2013-12-01,828.0
2014-01-01,778.0
2014-02-01,742.0
2014-03-01,993.0
2014-04-01,946.0
2014-05-01,925.0
2014-06-01,880.0
2014-07-01,1029.0
2014-08-01,802.0
2014-09-01,936.0
2014-10-01,1042.0
2014-11-01,943.0
2014-12-01,830.0
2015-01-01,781.0
2015-02-01,713.0
2015-03-01,908.0
2015-04-01,966.0
2015-05-01,940.0
2015-06-01,952.0
2015-07-01,1176.0
2015-08-01,864.0
2015-09-01,1007.0
2015-10-01,1110.0
2015-11-01,991.0
2015-12-01,950.0
2016-01-01,777.0
2016-02-01,775.0
2016-03-01,898.0
2016-04-01,998.0
2016-05-01,850.0
2016-06-01,1018.0
2016-07-01,1095.0
2016-08-01,958.0
2016-09-01,958.0
2016-10-01,1022.0
2016-11-01,960.0
2016-12-01,870.0
2017-01-01,690.0
2017-02-01,846.0
2017-03-01,1060.0
2017-04-01,895.0
2017-05-01,1070.0
2017-06-01,948.0
2017-07-01,1064.0
2017-08-01,831.0
2017-09-01,1009.0
2017-10-01,1052.0
2017-11-01,925.0
2017-12-01,873.0
2018-01-01,860.0
2018-02-01,774.0
2018-03-01,954.0
2018-04-01,1010.0
2018-05-01,994.0
2018-06-01,1034.0
2018-07-01,1151.0
2018-08-01,813.0
2018-09-01,1102.0
2018-10-01,1127.0
2018-11-01,929.0
2018-12-01,900.0
2019-01-01,927.0
2019-02-01,883.0
2019-03-01,1005.0
2019-04-01,967.0
2019-05-01,1014.0
2019-06-01,994.0
2019-07-01,1187.0
2019-08-01,820.0
2019-09-01,996.0
2019-10-01,1088.0
2019-11-01,967.0
2019-12-01,925.0
2020-01-01,791.0
2020-02-01,870.0
2020-03-01,744.0
2020-04-01,607.0
2020-05-01,859.0
2020-06-01,905.0
2020-07-01,1010.0
2020-08-01,735.0
2020-09-01,948.0
2020-10-01,997.0
2020-11-01,864.0
2020-12-01,694.0
